,Calibrating,Fatigue,Mind-Wandering,Optimal-Engaged,Optimal-Monitoring,Overload
Calibrating,0.9907316111220666,0.0,0.00039439952672056796,0.0037467955038453953,0.005127193847367383,0.0
Fatigue,0.0,0.7626953125,0.0849609375,0.076171875,0.0732421875,0.0029296875
Mind-Wandering,0.00013424620754463686,0.01154517384883877,0.8775674587192912,0.019331453886427707,0.09142166733789771,0.0
Optimal-Engaged,0.001090878576823026,0.0032306788621297307,0.006293530250902073,0.9166736594780566,0.07271125283208861,0.0
Optimal-Monitoring,0.0008363201911589009,0.003106332138590203,0.026762246117084828,0.06949422540820391,0.8998008761449622,0.0
Overload,0.0,0.4,0.0,0.0,0.2,0.4
