subject,session,n_trials,pct_optimal,pct_drift,mean_cumulative_drift,max_cumulative_drift,n_alerts,error_risk,mean_efficiency,std_efficiency
sub-01,ses-S1,1906,86.20146904512067,8.237145855194123,8.237145855194123,90.0,6,40.6,64.86396542016963,16.8788796950738
sub-01,ses-S2,1641,83.97318708104814,9.567336989640463,9.567336989640463,100.0,4,38.2,65.94269038601678,17.494938158077513
sub-01,ses-S3,1934,89.76215098241985,4.756980351602896,4.756980351602896,35.0,0,40.2,64.68344573488181,17.01850919716158
sub-02,ses-S1,717,83.12412831241284,2.092050209205021,2.092050209205021,13.333333333333334,0,32.0,68.85988531810773,16.484759942503
sub-02,ses-S2,1727,87.26114649681529,6.601042269832079,6.515151515151514,41.66666666666667,0,48.1,67.98098086500951,18.212805565291475
sub-02,ses-S3,1467,78.52760736196319,14.178595773687798,14.178595773687798,85.0,8,44.1,67.16289183530796,16.98487515496109
sub-03,ses-S1,1229,88.93409275834011,2.441008950366151,2.441008950366151,21.666666666666668,0,35.7,65.28300320651888,17.34066868651387
sub-03,ses-S2,1309,81.43621084797556,10.466004583651642,10.46600458365164,56.666666666666664,2,40.7,65.17510430632635,17.995796891557266
sub-03,ses-S3,1940,82.0618556701031,12.474226804123711,12.474226804123711,100.0,10,38.3,62.36381833059657,17.301150341837925
sub-04,ses-S1,1076,73.97769516728624,16.263940520446095,16.263940520446095,100.0,5,41.5,64.4281478864023,16.29609033003457
sub-04,ses-S2,1865,90.24128686327077,4.021447721179625,3.4807864164432525,26.666666666666668,0,39.4,64.91261582554756,17.470947601909018
sub-04,ses-S3,957,73.66771159874608,15.256008359456635,15.256008359456635,75.0,4,48.6,67.05594248412095,17.147630415832523
sub-05,ses-S1,1257,77.80429594272077,13.762927605409706,13.728453990983821,68.33333333333333,4,53.8,58.22264939616616,20.921691388532853
sub-05,ses-S2,958,80.1670146137787,8.872651356993737,8.834377174669449,45.0,0,53.2,60.053583111302466,21.343480273851686
sub-05,ses-S3,1109,63.11992786293958,27.321911632100992,27.263300270513977,100.0,11,55.4,54.17355271466178,24.92258709696507
sub-06,ses-S1,1461,72.68993839835728,20.123203285420946,18.474788957335157,100.0,8,50.6,63.85309732574445,18.381827586710962
sub-06,ses-S2,1781,76.53003930376192,17.51824817518248,17.51824817518248,100.0,11,57.4,60.697976315315216,17.71042175690967
