metric,n,mean,median,std,min,max
All Trials,62494,44.92551764969438,43.6,7.191091911106852,29.3,66.5
Optimal States,48944,44.23955541026479,42.7,6.606917661493397,29.3,66.5
Drift States,8478,49.40412833215381,50.2,8.56891427139612,29.3,66.5
