,Calibrating,Fatigue,Mind-Wandering,Optimal-Engaged,Optimal-Monitoring,Overload
Calibrating,0.9901650275045841,0.0001666944490748458,0.0010001666944490749,0.003333888981496916,0.005334222370395066,0.0
Fatigue,0.0006872852233676976,0.2563573883161512,0.18075601374570446,0.2920962199312715,0.26872852233676975,0.0013745704467353953
Mind-Wandering,9.450902561194594e-05,0.047916075985256594,0.49607787543710424,0.12172762498818637,0.33399489651261693,0.00018901805122389188
Optimal-Engaged,0.0010443182559885125,0.027511259056197376,0.03974936361856276,0.6792311206840285,0.2524639383852229,0.0
Optimal-Monitoring,0.0007856200113129281,0.02548551316699139,0.1124693608195588,0.24105964427125887,0.6201684369304254,3.1424800452517124e-05
Overload,0.0,0.18181818181818182,0.2727272727272727,0.0,0.18181818181818182,0.36363636363636365
